bookID,title,authors,NonePublisher,NoneYear,NonePlacementId
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling-Mary GrandPré,NonePublisher,NoneYear,NonePlacementId
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling-Mary GrandPré,NonePublisher,NoneYear,NonePlacementId
3,Harry Potter and the Sorcerer's Stone (Harry Potter  #1),J.K. Rowling-Mary GrandPré,NonePublisher,NoneYear,NonePlacementId
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,NonePublisher,NoneYear,NonePlacementId
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling-Mary GrandPré,NonePublisher,NoneYear,NonePlacementId
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling-Mary GrandPré,NonePublisher,NoneYear,NonePlacementId
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,NonePublisher,NoneYear,NonePlacementId
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,NonePublisher,NoneYear,NonePlacementId
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,NonePublisher,NoneYear,NonePlacementId
13,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,NonePublisher,NoneYear,NonePlacementId
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,NonePublisher,NoneYear,NonePlacementId
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams-Stephen Fry,NonePublisher,NoneYear,NonePlacementId
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy #1-5),Douglas Adams,NonePublisher,NoneYear,NonePlacementId
21,A Short History of Nearly Everything,Bill Bryson-William Roberts,NonePublisher,NoneYear,NonePlacementId
22,Bill Bryson's African Diary,Bill Bryson,NonePublisher,NoneYear,NonePlacementId
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,NonePublisher,NoneYear,NonePlacementId
24,In a Sunburned Country,Bill Bryson,NonePublisher,NoneYear,NonePlacementId
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,NonePublisher,NoneYear,NonePlacementId
26,The Lost Continent: Travels in Small Town America,Bill Bryson,NonePublisher,NoneYear,NonePlacementId
27,Neither Here nor There: Travels in Europe,Bill Bryson,NonePublisher,NoneYear,NonePlacementId
28,Notes from a Small Island,Bill Bryson,NonePublisher,NoneYear,NonePlacementId
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,NonePublisher,NoneYear,NonePlacementId
