id,17_title,NoneArtist,9_production_companies,11_release_date,NonePlacementId
id,Avatar,NoneArtist,"[{""name"": ""Ingenious Film Partners"", ""id"": 289}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Lightstorm Entertainment"", ""id"": 574}]",2009-12-10,NonePlacementId
id,Pirates of the Caribbean: At World's End,NoneArtist,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Jerry Bruckheimer Films"", ""id"": 130}, {""name"": ""Second Mate Productions"", ""id"": 19936}]",2007-05-19,NonePlacementId
id,Spectre,NoneArtist,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Danjaq"", ""id"": 10761}, {""name"": ""B24"", ""id"": 69434}]",2015-10-26,NonePlacementId
id,The Dark Knight Rises,NoneArtist,"[{""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""DC Entertainment"", ""id"": 9993}, {""name"": ""Syncopy"", ""id"": 9996}]",2012-07-16,NonePlacementId
id,John Carter,NoneArtist,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}]",2012-03-07,NonePlacementId
id,Spider-Man 3,NoneArtist,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Laura Ziskin Productions"", ""id"": 326}, {""name"": ""Marvel Enterprises"", ""id"": 19551}]",2007-05-01,NonePlacementId
id,Tangled,NoneArtist,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Walt Disney Animation Studios"", ""id"": 6125}]",2010-11-24,NonePlacementId
id,Avengers: Age of Ultron,NoneArtist,"[{""name"": ""Marvel Studios"", ""id"": 420}, {""name"": ""Prime Focus"", ""id"": 15357}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}]",2015-04-22,NonePlacementId
id,Harry Potter and the Half-Blood Prince,NoneArtist,"[{""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Heyday Films"", ""id"": 7364}]",2009-07-07,NonePlacementId
id,Batman v Superman: Dawn of Justice,NoneArtist,"[{""name"": ""DC Comics"", ""id"": 429}, {""name"": ""Atlas Entertainment"", ""id"": 507}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""DC Entertainment"", ""id"": 9993}, {""name"": ""Cruel & Unusual Films"", ""id"": 9995}, {""name"": ""RatPac-Dune Entertainment"", ""id"": 41624}]",2016-03-23,NonePlacementId
