Number,Album,Artist,publisher,published,shelfid
1,Sgt. Pepper's Lonely Hearts Club Band,The Beatles,Viverra Corporation,2011-10-23,1
2,Pet Sounds,The Beach Boys,Justo Eu Arcu Incorporated,1981-11-03,1
3,Revolver,The Beatles,Molestie LLC,1988-02-25,1
4,Highway 61 Revisited,Bob Dylan,Eget Limited,2021-12-30,1
5,Rubber Soul,The Beatles,Orci Lacus Vestibulum Limited,1977-02-04,1
6,What's Going On,Marvin Gaye,Nam Porttitor Scelerisque Foundation,2015-01-02,1
7,Exile on Main St.,The Rolling Stones,Taciti Corp.,2019-09-10,1
8,London Calling,The Clash,Vestibulum Ut Ltd,1985-11-24,1
9,Blonde on Blonde,Bob Dylan,Tempus Foundation,1990-08-07,1
10,The Beatles (The White Album),The Beatles,Eleifend Non Corporation,1966-06-05,1
11,The Sun Sessions,Elvis Presley,Turpis Vitae Purus LLC,2003-04-12,1
12,Kind of Blue,Miles Davis,At Limited,1995-07-27,1
13,The Velvet Underground & Nico,The Velvet Underground,Orci Sem Eget Corporation,1978-02-04,1
14,Abbey Road,The Beatles,In Scelerisque Consulting,2017-07-02,1
15,Are You Experienced,The Jimi Hendrix Experience,Ornare Libero Ltd,1978-03-27,1
16,Blood on the Tracks,Bob Dylan,Posuere Limited,1989-02-08,1
17,Nevermind,Nirvana,Accumsan Corporation,2012-06-27,1
18,Born to Run,Bruce Springsteen,Leo Limited,2013-12-28,1
19,Astral Weeks,Van Morrison,Pede Industries,2002-05-24,1
20,Thriller,Michael Jackson,Enim Corp.,1965-10-07,1
21,The Great Twenty_Eight,Chuck Berry,Aliquam Tincidunt Nunc Company,1973-09-09,1
22,The Complete Recordings,Robert Johnson,Massa Mauris Vestibulum Institute,1996-01-15,1
23,John Lennon/Plastic Ono Band,John Lennon / Plastic Ono Band,Massa Vestibulum Institute,1962-09-02,1
24,Innervisions,Stevie Wonder,Malesuada Fames Foundation,2000-04-29,1
25,Live at the Apollo, 1962,Semper Corporation,2017-10-11,1
26,Rumours,Fleetwood Mac,Ipsum Porta Elit Associates,2018-01-07,1
27,The Joshua Tree,U2,A Magna Lorem Consulting,2017-12-01,1
28,Who's Next,The Who,Vitae Orci Associates,1982-04-11,1
29,Led Zeppelin,Led Zeppelin,Tristique LLC,1975-07-27,1
30,Blue,Joni Mitchell,Sit Amet Corp.,2008-11-16,1
31,Bringing It All Back Home,Bob Dylan,Quam Vel Sapien Limited,1989-06-11,1
32,Let It Bleed,The Rolling Stones,Rutrum Lorem Ac Company,1995-03-15,1
33,Ramones,Ramones,Est Corporation,1959-06-06,1
34,Music From Big Pink,The Band,Nascetur Incorporated,1978-05-07,1
35,The Rise and Fall of Ziggy Stardust and the Spiders From Mars,David Bowie,Consectetuer Cursus Et LLP,1976-09-01,1
36,Tapestry,Carole King,Malesuada Corporation,1959-09-23,1
37,Hotel California,Eagles,Consequat Corporation,1980-02-22,1
38,The Anthology,Muddy Waters,Nullam Institute,1968-09-25,1
39,Please Please Me,The Beatles,Curabitur Ut Odio Foundation,1991-03-22,1
40,Forever Changes,Love,Sed Diam Lorem LLC,1982-09-14,1
41,Never Mind the Bollocks Here's the Sex Pistols,Sex Pistols,Semper Ltd,1959-03-11,1
42,The Doors,The Doors,Ac Feugiat Non LLP,2014-09-18,1
43,The Dark Side of the Moon,Pink Floyd,Et Rutrum Eu PC,1983-01-19,1
44,Horses,Patti Smith,Ac Mi Incorporated,1999-04-18,1
45,The Band (The Brown Album),The Band,Sem LLC,1967-12-20,1
46,Legend: The Best of Bob Marley and The Wailers,Bob Marley & The Wailers,Duis Mi Enim Industries,1995-05-09,1
47,A Love Supreme,John Coltrane,Tincidunt Donec Vitae LLC,1997-09-07,1
48,It Takes a Nation of Millions to Hold Us Back,Public Enemy,Augue Sed Molestie PC,1983-05-31,1
49,At Fillmore East,The Allman Brothers Band,Pretium Aliquet Metus LLP,2000-11-02,1
50,Here's Little Richard,Little Richard,Quisque Ornare Tortor Corporation,1979-05-18,1
51,Bridge Over Troubled Water,Simon & Garfunkel,Ipsum Foundation,2011-11-10,1
52,Greatest Hits,Al Green,Posuere Enim Nisl Institute,1964-11-05,1
53,Meet The Beatles!,The Beatles,Ut LLP,1966-07-10,1
54,The Birth of Soul,Ray Charles,Eu Dolor Incorporated,1999-03-03,1
55,Electric Ladyland,The Jimi Hendrix Experience,Nulla Aliquet Proin LLP,1986-04-26,1
56,Elvis Presley,Elvis Presley,Urna Suscipit Nonummy LLP,1997-09-13,1
57,Songs in the Key of Life,Stevie Wonder,Velit Ltd,1992-03-30,1
58,Beggars Banquet,The Rolling Stones,Varius Ultrices Mauris LLC,1974-02-16,1
59,Chronicle: The 20 Greatest Hits,Creedence Clearwater Revival,Donec Fringilla Corporation,1970-01-29,1
60,Trout Mask Replica,Captain Beefheart & His Magic Band,Enim Diam Vel Incorporated,1989-03-27,1
61,Greatest Hits,Sly & The Family Stone,Egestas Nunc Sed Limited,1974-01-05,1
62,Appetite for Destruction,Guns N' Roses,Adipiscing Lacus Associates,1978-02-02,1
63,Achtung Baby,U2,Et Rutrum Non Incorporated,2022-06-03,1
64,Sticky Fingers,The Rolling Stones,Dui Cum Sociis Industries,1978-05-13,1
65,Back to Mono (1958-1969),Phil Spector,Hymenaeos Corp.,2007-10-30,1
66,Moondance,Van Morrison,Neque In Ornare Institute,2013-10-05,1
67,Kid A,Radiohead,Ut Tincidunt Vehicula Industries,1995-01-26,1
68,Off the Wall,Michael Jackson,Tempor Bibendum Donec Limited,1975-10-20,1
69,[Led Zeppelin IV],Led Zeppelin,Etiam Vestibulum Massa Company,2012-03-10,1
70,The Stranger,Billy Joel,Vitae Orci Phasellus LLP,2006-05-18,1
71,Graceland,Paul Simon,Lacus Etiam LLC,1995-03-06,1
72,Superfly,Curtis Mayfield,Nibh Corp.,2004-07-16,1
73,Physical Graffiti,Led Zeppelin,In Felis Limited,1982-09-18,1
74,After the Gold Rush,Neil Young,Rutrum Corporation,2020-11-25,1
75,Star Time,James Brown,Porta Industries,1971-04-04,1
76,Purple Rain,Prince and the Revolution,Euismod Inc.,2008-04-23,1
77,Back in Black,AC/DC,Nullam Foundation,1967-01-24,1
78,Otis Blue: Otis Redding Sings Soul,Otis Redding,Dictum Corporation,1982-03-31,1
79,Led Zeppelin II,Led Zeppelin,Convallis Ligula Donec Inc.,2019-11-09,1
80,Imagine,John Lennon,Elementum Ltd,1969-06-20,1
81,The Clash,The Clash,Eget Lacus Mauris Ltd,1974-08-01,1
82,Harvest,Neil Young,Pellentesque Incorporated,2002-11-20,1
83,Axis: Bold as Love,The Jimi Hendrix Experience,Erat Institute,2012-05-19,1
84,I Never Loved a Man the Way I Love You,Aretha Franklin,Suspendisse Ac Metus Industries,2020-04-18,1
85,Lady Soul,Aretha Franklin,Malesuada Integer Id Industries,1979-05-01,1
86,Born in the U.S.A.,Bruce Springsteen,Ridiculus Mus Limited,1991-01-11,1
87,The Wall,Pink Floyd,Consectetuer Rhoncus Nullam Corporation,1967-03-09,1
88,At Folsom Prison,Johnny Cash,Nullam Company,2011-09-06,1
89,Dusty in Memphis,Dusty Springfield,Nibh LLC,1970-03-03,1
90,Talking Book,Stevie Wonder,Integer Incorporated,2011-04-01,1
91,Goodbye Yellow Brick Road,Elton John,Elit Sed PC,2013-02-26,1
92,20 Golden Greats,Buddy Holly,Justo Sit Associates,1993-01-25,1
93,Sign Peace the Times,Prince,Vitae Purus Gravida Company,1982-08-22,1
94,40 Greatest Hits,Hank Williams,Lacus Mauris Non PC,1984-09-03,1
95,Bitches Brew,Miles Davis,At PC,1988-08-23,1
96,Tommy,The Who,Ornare Sagittis Inc.,1961-09-25,1
97,The Freewheelin' Bob Dylan,Bob Dylan,A Odio Semper Institute,1971-08-25,1
98,This Year's Model,Elvis Costello,Amet Inc.,1983-12-10,1
99,There's a Riot Goin' On,Sly & The Family Stone,Mollis Dui LLC,1959-04-30,1
100,Odessey and Oracle,The Zombies,Justo Faucibus LLC,1992-08-02,2
101,In the Wee Small Hours,Frank Sinatra,Non Hendrerit Associates,1972-09-06,2
102,Fresh Cream,Cream,Eu Metus In Associates,2000-06-14,2
103,Giant Steps,John Coltrane,Hendrerit Donec Ltd,1995-01-13,2
104,Sweet Baby James,James Taylor,Imperdiet Dictum Industries,2014-04-20,2
105,Modern Sounds in Country and Western Music,Ray Charles,Placerat Industries,1996-02-25,2
106,Rocket to Russia,Ramones,Diam Inc.,2021-10-04,2
107,Portrait of a Legend 1951-1964,Sam Cooke,Nibh Incorporated,2012-10-13,2
108,Hunky Dory,David Bowie,Mauris Blandit Enim Inc.,2011-01-30,2
109,Aftermath,The Rolling Stones,Odio A Purus LLC,2004-06-26,2
110,Loaded,The Velvet Underground,Sed Eu Eros LLC,2014-03-09,2
111,The Bends,Radiohead,Pretium Aliquet Metus PC,2016-09-04,2
112,If You Can Believe Your Eyes and Ears,The Mamas and the Papas,Nulla Integer Foundation,1959-05-02,2
113,Court and Spark,Joni Mitchell,Eget Tincidunt Dui Consulting,1971-12-01,2
114,Disraeli Gears,Cream,Lorem Ltd,1979-05-06,2
115,The Who Sell Out,The Who,Non Lorem Vitae Corporation,1963-03-07,2
116,Out of Our Heads,The Rolling Stones,Aliquet Diam Sed PC,2006-10-28,2
117,Layla and Other Assorted Love Songs,Derek and the Dominos,Id Associates,2007-09-21,2
118,Late Registration,Kanye West,Suspendisse Corp.,1981-09-17,2
119,At Last!,Etta James,Sapien PC,2008-05-22,2
120,Sweetheart of the Rodeo,The Byrds,Morbi Neque Tellus PC,2005-05-29,2
121,Stand!,Sly & The Family Stone,Lectus Rutrum Urna Corp.,2001-11-12,2
122,The Harder They Come,Various Artists,Aliquet Libero Industries,1997-04-23,2
123,Raising Hell,Run D.M.C.,Curabitur Institute,1982-01-31,2
124,Moby Grape,Moby Grape,Pede PC,2010-01-26,2
